Date,2YO,3YO,4YO,5YO
2016-07-27,,74528.2045698108,89487.98405655228,
2016-07-28,,,59547.581342008605,47082.09084364935
2016-07-29,89734.4439729355,,,
2016-07-31,,74262.34764883842,,47770.44542378966
2016-08-01,,73965.73580521901,90155.89042995089,
2016-08-02,,,,47584.8690730712
2016-08-03,90271.726590651,,59315.23989554074,
2016-08-04,,73936.36333276881,,
2016-08-06,,73192.89348772056,90340.73536723832,47651.83561596597
2016-08-07,,,,47594.72746972653
2016-08-08,90325.94777225536,,58825.67316643467,
2016-08-09,,73539.39856078089,,
2016-08-11,,,90202.47135414732,
2016-08-12,,72438.86434446099,,47209.05975003558
2016-08-13,89867.53232778252,,,47226.334752606286
2016-08-14,,,57943.62227413981,
2016-08-15,,,89606.03835649983,
2016-08-16,,72218.34813102652,,
2016-08-17,,71016.38388725245,,46813.733801249364
2016-08-18,89394.87697702971,71158.94965968063,,
2016-08-20,,,73144.1277831382,
2016-08-21,,69870.29857506751,,
2016-08-22,88584.57154083188,70673.93821104424,,
2016-08-23,,,88354.88459098025,46437.58897231327
2016-08-24,,69527.54751426727,56605.14354001818,
2016-08-25,,68805.92290990514,,
2016-08-26,88168.01516152253,,,
2016-08-27,,,88140.25908046316,
2016-08-28,87308.22213893982,,87186.86997058729,45965.284402267105
2016-08-29,,69135.73492815034,55928.482539148856,
2016-08-30,,68016.38234262147,,
2016-09-02,87006.1326985729,,87006.1326985729,45548.014786339336
2016-09-03,,67863.04330438236,55546.54532464528,45352.100508754345
2016-09-04,86061.13496204051,,86030.1514296952,
2016-09-05,,67346.61728413372,,
2016-09-07,,,,45151.25344158395
2016-09-08,85698.56804988418,67343.7248761277,85652.41053118513,
2016-09-09,,,55371.28153454054,44933.87271812957
2016-09-10,84714.24506075967,,,
2016-09-11,,67199.61811054288,84636.66706246426,
2016-09-12,,,,44778.67646513143
2016-09-13,,67142.41136083784,,
2016-09-14,84412.55284516644,,,44478.97456628464
2016-09-15,,,69893.99172107555,
2016-09-16,83266.95659793678,,,
2016-09-17,,67084.4166305302,82949.97122855773,44396.41713482104
2016-09-18,,67134.06964059101,,
2016-09-19,,,56162.43016009768,
2016-09-20,82405.46543944666,,,44048.551454149376
2016-09-21,,,82156.04800406682,44000.761983173055
2016-09-23,,67133.15571822788,,
2016-09-24,,67134.06964059101,,
2016-09-25,81324.52745474917,,,
2016-09-26,,,81534.31178833732,43716.90883781794
2016-09-27,,,68369.54861184841,
2016-09-29,,67155.76681018111,,
2016-09-30,80577.53385461115,,,
2016-10-02,,,80261.30308163597,43236.59279640968
2016-10-03,79970.93438541287,,55943.10426545816,
2016-10-04,,67134.06964059101,,
2016-10-05,,67248.35719824056,,
2016-10-06,,,79987.34342721417,42951.42264506599
2016-10-07,80038.71086241826,,,
2016-10-08,,,,42703.13109238594
2016-10-09,,67311.52078038696,55635.16184773196,
2016-10-11,,67394.91529411467,80038.71086241826,42396.30102387894
2016-10-13,80038.71086241826,,,42193.807625945294
2016-10-14,,67479.11352352757,,
2016-10-15,,,55874.42646006598,
2016-10-16,,,80230.94959719719,41970.512177860655
2016-10-17,80403.99040164734,67744.60972752594,,
2016-10-19,,67745.29023322149,,41760.02974543601
2016-10-21,,,68302.54781609976,41621.71271524584
2016-10-23,81023.03385154277,67926.27359985361,,
2016-10-24,,67912.8829763621,,
2016-10-25,,,,41402.18223312944
2016-10-26,,,81340.01922092188,
2016-10-27,,,55692.762587738296,41368.16414221996
2016-10-28,81444.8468386902,,,
2016-10-29,,67990.304105599,,
2016-10-31,,,81532.25795570078,41080.39024476295
2016-11-01,,,,41135.0130613214
